,"Järvien lukumäärä","Pinta-ala yhteensä"
Joutojärvi,1,2 ha
Kahtalammi,1,1 ha
Luotonen,6,162 ha
Muta-Sukkula,1,12 ha
Linnalampi,5,25 ha
Kutulahdenlampi,1,11 ha
Keski-Jukuanlampi,1,12 ha
Peuronlampi,1,11 ha
Törmäpuolijärvi,1,2 ha
Pajalampi,2,5 ha
Alträsk,1,3 ha
Jokinen,1,3 ha
Pieni-Harinen,1,2 ha
Iso-Koirajärvi,1,149 ha
Tervalanjärvi,1,2 ha
Lotanlampi,2,8 ha
"Keskimmäinen Sankajärvi",1,12 ha
Heiniönlampi,2,6 ha
Lillolammi,1,2 ha
Yli-Räinänlampi,1,2 ha
Naarahlampi,1,2 ha
Varilampi,1,1 ha
Lihalampi,5,92 ha
"Haataan Patmaanlampi",1,5 ha
Kaakkulampi,1,4 ha
Alinen,2,9 ha
"Pitkä Sammakkolampi",1,2 ha
Vähä-Aavanlampi,1,4 ha
Niitty-Mustalampi,1,1 ha
Ylttistenjärvi,1,38 ha
Luotoinen,1,20 ha
Kylmäluoma,1,384 ha
"Suuri Kurjärvi",1,205 ha
Syynytlampi,1,3 ha
"Pieni Palo-Kotkajärvi",1,5 ha
Ylävänlampi,1,2 ha
Palkeenlampi,1,11 ha
Tusselilampi,1,1 ha
Kuulialampi,1,7 ha
Kurkkolampi,2,4 ha
Korpi-Koura,1,3 ha
Keijärvi,2,150 ha
"Suuri Kangaslampi",3,22 ha
Piiroilanlampi,1,1 ha
Asemalampi,2,24 ha
Salkojärvi,1,10 ha
Monolanjärvi,1,94 ha
Juolunkajärvi,1,432 ha
Ali-Pilttijärvi,1,7 ha
Maahjärvi,1,69 ha
Kevätlampi,1,5 ha
Kotalampi,60,300 ha
Palokinjärvi,1,3 ha
Käreslampi,2,15 ha
Ilveslammi,1,3 ha
Lausjärvi,1,39 ha
Pieni-Saareinen,1,4 ha
Ontonperä,1,2 ha
Kalpjärvi,1,67 ha
Heinä-Ternu,1,4 ha
Koilampi,4,11 ha
Hiiramaislampi,2,4 ha
Sotkajärvi,9,1 572 ha
Koirilampi,13,65 ha
Tuusulanjärvi,1,592 ha
Kupunen,1,3 ha
Härkanträsket,1,3 ha
Juurijärvi,2,75 ha
Kohmalanjärvi,1,6 ha
Lahdenperänjärvi,1,8 ha
Jävätjärvi,1,19 ha
"Pieni Pesiöjärvi",1,137 ha
Karhilampi,1,1 ha
Paitalahti,1,20 ha
Vasemalampi,1,3 ha
"Alimmainen Hauklampi",1,2 ha
Kotolahti,2,20 ha
Dierpmesluoppal,1,11 ha
Raimonjärvi,1,6 ha
"Tjudnäs träsk",1,11 ha
Raattajärvi,1,4 ha
Ala-Musta,2,40 ha
Naistenjärvi,2,38 ha
Selkäsilmä,1,2 ha
Äytsikäslampi,1,9 ha
Iso-Paltanen,1,16 ha
Saarinen,38,1 698 ha
Haudanlampi,3,22 ha
Lappajärvi,3,14 674 ha
Ruunaselkä,1,16 ha
Itralampi,1,1 ha
Rusutjärvi,1,133 ha
Jyväsjärvi,2,370 ha
Sorvanjärvi,1,7 ha
Torsa,1,1 578 ha
Valtonen,1,27 ha
"Joutsen munajärvi",1,3 ha
"Pieni Uumajärvi",1,14 ha
"Alimmainen Kirvesluoma",1,76 ha
"Suuri Tynnörilampi",1,2 ha
Kynsilampi,3,1 273 ha
Iso-Peuro,1,1 ha
Leutujärvi,1,5 ha
Iso-Mäkäri,1,145 ha
Leuvanjärvi,1,83 ha
Jatkolammi,1,1 ha
Luovajärvi,1,23 ha
